eps,min_samples,n_clusters,n_noise,silhouette
1.2,2,2,174,-0.22848836858959
1.2,3,0,178,
1.2,4,0,178,
1.2,5,0,178,
1.2,8,0,178,
1.2,10,0,178,
1.5,2,18,127,-0.2593113145392012
1.5,3,8,147,-0.27676901365193624
1.5,4,2,169,-0.07237725325990084
1.5,5,0,178,
1.5,8,0,178,
1.5,10,0,178,
1.8,2,15,76,-0.11049883147816271
1.8,3,8,90,-0.03255227058480578
1.8,4,9,103,-0.12866565967109078
1.8,5,7,118,-0.17568917085052546
1.8,8,1,170,
1.8,10,0,178,
2.0,2,9,56,-0.08807449052298842
2.0,3,5,64,0.03140745086897008
2.0,4,6,66,0.028566718532402103
2.0,5,5,85,-0.03290613998220975
2.0,8,3,117,-0.062497816633526874
2.0,10,1,139,
2.5,2,3,19,-0.020525909100844415
2.5,3,1,23,
2.5,4,1,23,
2.5,5,1,24,
2.5,8,2,30,0.2076088441129092
2.5,10,2,32,0.20438854495188735
3.0,2,3,5,0.1342575010132213
3.0,3,2,7,0.19109689467931043
3.0,4,1,11,
3.0,5,1,11,
3.0,8,1,11,
3.0,10,1,12,
